abonder,-
absoudre,-
adresser,-
amnistier,-
anluminer,O
ardoiser,-
baptizer,M
bourser,-
calibrer,-
carencer,-
conclure,-
congeler,-
décevoir,-
dégoiser,-
dépoétiser,-
désescalader,-
deviser,-
ébruiter,-
embraser,-
encenser,-
ensabler,-
eriger,M
farter,-
fissionner,-
génuflexionner,-
grattouiller,-
haitier,O
hyperlier,-
induire,-
lesser,O
lyncher,-
maillocher,-
mercyer,M
mithridatiser,-
narrer,-
parachever,-
rembourser,-
réouvrir,-
repeter,O
reverser,-
revisser,-
rimailler,-
sapurer,O
satisfaire,-
seiner,-
sevrer,-
surabonder,-
tocquer,M
transmettre,-
vociférer,-
